frame,id,x1,y1,x2,y2,class,conf
16,6,1135,353,1185,444,player,0.8896276950836182
16,7,892,87,913,130,player,0.8864591121673584
16,8,1070,128,1100,183,player,0.9156871438026428
16,9,551,158,582,219,player,0.8895281553268433
16,10,865,198,908,270,player,0.8965165615081787
16,13,590,409,634,506,player,0.9072392582893372
16,14,736,99,766,151,player,0.8839302062988281
16,17,515,419,584,514,player,0.7032257914543152
17,1,906,439,956,515,player,0.8669610619544983
17,2,624,162,661,229,player,0.9077263474464417
17,3,999,189,1042,252,player,0.9228278994560242
17,4,510,435,559,492,player,0.48726069927215576
17,5,285,264,316,347,player,0.8981508612632751
17,6,1145,354,1193,446,player,0.8983002305030823
17,7,904,87,922,131,player,0.8792750835418701
17,8,1078,129,1113,184,player,0.9118158221244812
17,9,565,158,590,219,player,0.8600699305534363
17,10,876,200,916,271,player,0.902737021446228
17,13,595,408,631,506,player,0.8869383335113525
17,14,748,100,777,151,player,0.8988646864891052
17,17,519,416,577,511,player,0.811451256275177
18,1,910,438,966,522,player,0.7730697989463806
18,2,636,163,670,229,player,0.9025949239730835
18,3,1011,191,1051,253,player,0.8881116509437561
18,4,512,446,570,506,player,0.5482791662216187
18,5,292,264,326,348,player,0.9295481443405151
18,6,1150,354,1192,446,player,0.9117850065231323
18,7,915,88,933,132,player,0.8782165050506592
18,8,1087,131,1125,185,player,0.9223737120628357
18,9,577,159,597,219,player,0.8631876707077026
18,10,886,201,922,272,player,0.889607310295105
18,13,599,408,633,503,player,0.9047873020172119
18,14,759,100,786,152,player,0.8861079812049866
18,17,537,416,582,495,player,0.8219611048698425
19,1,914,438,974,525,player,0.854856550693512
19,2,648,163,678,230,player,0.9037943482398987
19,3,1021,192,1058,254,player,0.9079915285110474
19,4,519,449,578,511,player,0.6250775456428528
19,5,295,264,335,349,player,0.9257232546806335
19,6,1153,353,1195,448,player,0.9189183712005615
19,7,926,87,945,133,player,0.8892672061920166
19,8,1096,134,1138,187,player,0.9237899780273438
19,9,588,159,605,220,player,0.8799870014190674
19,10,894,202,926,271,player,0.8954900503158569
19,13,602,407,636,503,player,0.861963152885437
19,14,770,101,795,153,player,0.8583909273147583
19,17,540,416,585,491,player,0.8066933155059814
19,54,915,439,953,528,player,0.7498093247413635
20,1,917,438,975,525,player,0.9247044324874878
20,2,659,163,686,231,player,0.8817237019538879
20,3,1028,192,1063,254,player,0.9084833264350891
20,4,516,452,557,517,player,0.8780755400657654
20,5,297,266,344,349,player,0.9251242876052856
20,6,1156,353,1202,449,player,0.920195996761322
20,7,935,88,957,135,player,0.9052944779396057
20,8,1108,136,1149,189,player,0.914438784122467
20,9,598,159,615,222,player,0.8645918965339661
20,10,902,202,929,272,player,0.8933778405189514
20,13,606,408,639,502,player,0.8770596385002136
20,14,782,101,804,154,player,0.8689215779304504
20,17,544,416,593,492,player,0.8706044554710388
20,36,856,227,887,303,player,0.4271750748157501
21,1,918,438,969,526,player,0.9122518301010132
21,2,670,163,692,232,player,0.8817331194877625
21,3,1038,192,1068,256,player,0.9151368141174316
21,4,508,456,552,524,player,0.8881847858428955
21,5,303,267,350,350,player,0.9263145327568054
21,6,1153,353,1210,449,player,0.9350085854530334
21,7,944,90,968,136,player,0.9104446172714233
21,8,1120,139,1160,190,player,0.9165775775909424
21,9,606,160,626,222,player,0.8905651569366455
21,10,910,202,937,274,player,0.8964444398880005
21,13,610,408,641,503,player,0.8747458457946777
21,14,794,102,813,155,player,0.878680944442749
21,17,549,416,601,491,player,0.8915287256240845
22,1,919,438,973,528,player,0.9224202632904053
22,2,680,163,702,232,player,0.8935982584953308
22,3,1050,192,1075,256,player,0.8997984528541565
22,4,505,457,559,523,player,0.7478523850440979
22,5,312,269,353,351,player,0.9096905589103699
22,6,1149,354,1215,448,player,0.9325863718986511
